"Send points to friend %1","Send points to friend %1"
"Reward for checkout order #%1","Reward for checkout order #%1"
",+%1 points (%2)",",+%1 points (%2)"
",+%1 points for product: %2",",+%1 points for product: %2"
"Use to checkout order #%1","Use to checkout order #%1"
"The sending points to friend %1 was expired","The sending points to friend %1 was expired"
"Restore spent points for cancelled order #%1","Restore spent points for cancelled order #%1"
"Restore spent points for refunded order #%1","Restore spent points for refunded order #%1"
"Subtract reward points for refunded order #%1","Subtract reward points for refunded order #%1"
"Subtract earned points for product %1 (refunded)","Subtract earned points for product %1 (refunded)"
"Subtract earned points for purchase of friend %1 (refunded)","Subtract earned points for purchase of friend %1 (refunded)"
"Reward for Facebook Like: (<b>%1</b>)","Reward for Facebook Like: (<b>%1</b>)"
"Reward for Facebook Share: (<b>%1</b>)","Reward for Facebook Share: (<b>%1</b>)"
"Fixed Reward Points (X)","Fixed Reward Points (X)"
"Fixed Reward Points (X) for Whole Cart","Fixed Reward Points (X) for Whole Cart"
"Spend Y Get X Reward Points","Spend Y Get X Reward Points"
"Spend Y Get X Reward Points for Whole Cart","Spend Y Get X Reward Points for Whole Cart"
"Do Not Allow to Use Reward Points","Do Not Allow to Use Reward Points"
"Allow to Use Unlimited Points","Allow to Use Unlimited Points"
"Allow to use fixed Reward Points (X) per order","Allow to use fixed Reward Points (X) per order"
"Spend (Y) to allow to use Reward Points (X)","Spend (Y) to allow to use Reward Points (X)"
"Reward points has successfully saved","Reward points has successfully saved"
"You Earn","You Earn"
"You Redeem (%1)","You Redeem (%1)"
"Total Points","Total Points"
"You do not have enough points for product in cart.","You do not have enough points for product in cart."
"For using points to checkout order, please login!","For using points to checkout order, please login!"
"You received %1 %2 for signing up.","You received %1 %2 for signing up."
"Thank you for visiting our site","Thank you for visiting our site"
"%1 | %2","%1 | %2"
"You will be awarded %1 points. Please Login or Create New Account to receive these points.","You will be awarded %1 points. Please Login or Create New Account to receive these points."
"Date Range:","Date Range:"
"Last 24h","Last 24h"
"Last Week","Last Week"
"Last Month","Last Month"
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"Custom","Custom"
"From:","From:"
"To:","To:"
"Refresh","Refresh"
"Rewarded Points by Activities","Rewarded Points by Activities"
"Statistics","Statistics"
"Total Rewarded Points","Total Rewarded Points"
"Total Redeemed Points","Total Redeemed Points"
"Average Rewarded Points per Customer","Average Rewarded Points per Customer"
"Average Rewarded Points per Order","Average Rewarded Points per Order"
"Average Redeemed Points per Order","Average Redeemed Points per Order"
"Top Customers","Top Customers"
"Email customer","Email customer"
"Points","Points"
"Total Customer Balance","Total Customer Balance"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Please confirm site switching. All data that hasn\'t been saved will be lost."
"You will be awarded <b>%1</b>","You will be awarded <b>%1</b>"
"(Hide)","(Hide)"
"(Details)","(Details)"
"You have <b>%1</b> available (<b>%2</b> = <b>%3</b>)","You have <b>%1</b> available (<b>%2</b> = <b>%3</b>)"
"Add Reward points","Add Reward points"
"Remove","Remove"
"Use maximum <b>%1</b>","Use maximum <b>%1</b>"
"Use maximum (<b>%1</b>)","Use maximum (<b>%1</b>)"
"Order Totals","Order Totals"
"Append Comments","Append Comments"
"Email Order Confirmation","Email Order Confirmation"
"Submit Order","Submit Order"
"You Lose","You Lose"
"You Redeemed (%1)","You Redeemed (%1)"
"Loading...","Loading..."
"The Reward Points Extension is developed and supported by %1. If you need any support or have any question please contact us at %2","The Reward Points Extension is developed and supported by %1. If you need any support or have any question please contact us at %2"
"No Record","No Record"
"The store code may contain only letters (a-z)(A-Z), numbers (0-9), the first character must be a letter","The store code may contain only letters (a-z)(A-Z), numbers (0-9), the first character must be a letter"
"Discount Codes","Discount Codes"
"Enter your code","Enter your code"
"Apply Coupon","Apply Coupon"
"Cancel Coupon","Cancel Coupon"
"You have <b>%1</b> available <br>(<b>%2</b> = <b>%3</b>)","You have <b>%1</b> available <br>(<b>%2</b> = <b>%3</b>)"
"Points to redeem","Points to redeem"
"Please <a href='%1'>LOGIN</a> to use reward points","Please <a href='%1'>LOGIN</a> to use reward points"
"Total","Total"
"Updating cart information...","Updating cart information..."
"* Required Fields","* Required Fields"
"Connect & Share","Connect & Share"
"With friends on Facebook, Twitter, or Google.","With friends on Facebook, Twitter, or Google."
"Copy + paste your personal link into your blog, email or IM.","Copy + paste your personal link into your blog, email or IM."
"Invite Friends Via Email","Invite Friends Via Email"
"Send invitation emails to your friends and family","Send invitation emails to your friends and family"
"Email of your friend","Email of your friend"
"Email of your friends","Email of your friends"
"Separate with commas (,)","Separate with commas (,)"
"Message","Message"
"Send","Send"
"Close","Close"
"Invite Friends","Invite Friends"
"This is a required field.","This is a required field."
"Contact Address","Contact Address"
"Mail Information","Mail Information"
"Email Address","Email Address"
"Password","Password"
"Email Provider","Email Provider"
"Please select an email provider","Please select an email provider"
"Next","Next"
"Back","Back"
"You do not have any contacts in your address book.","You do not have any contacts in your address book."
"Add Contact","Add Contact"
"Email Notification Settings","Email Notification Settings"
"Subscribe to balance update","Subscribe to balance update"
"Your Reward Points: <strong>%1</strong> = <strong>%2</strong>","Your Reward Points: <strong>%1</strong> = <strong>%2</strong>"
"Points/Currency Exchange Rate: <strong>%1</strong> = <strong>%2</strong>","Points/Currency Exchange Rate: <strong>%1</strong> = <strong>%2</strong>"
"Reward Point/Credit Rate: <strong>%1</strong> = <strong>%2</strong> (credit)","Reward Point/Credit Rate: <strong>%1</strong> = <strong>%2</strong> (credit)"
"Exchange","Exchange"
"Exchange Reward Points To Credit","Exchange Reward Points To Credit"
"Submit","Submit"
"Points:","Points:"
"Send Reward Points To Friend","Send Reward Points To Friend"
"Friend name","Friend name"
"Points to send","Points to send"
"Date","Date"
"The %1 will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>","The %1 will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>"
