"Page not found.","Page not found."
"Amasty error. Bad filter for select","Amasty error. Bad filter for select"
"- Magento Default (E-mail) -","- Magento Default (E-mail) -"
"Data is incorrect.","Data is incorrect."
"Not Visible","Not Visible"
"Unable to save relation %1","Unable to save relation %1"
"Relation with specified ID ""%1"" not found.","Relation with specified ID ""%1"" not found."
"Unable to remove relation %1","Unable to remove relation %1"
"CNPJ Validation","CNPJ Validation"
"Please fill the CNPJ correctly.","Please fill the CNPJ correctly."
"CPF Validation","CPF Validation"
"Please fill the CPF correctly.","Please fill the CPF correctly."
"Nickname validation","Nickname validation"
"Please use only letters (a-z or A-Z), numbers (0-9), ""_"" and ""-"" symbols.","Please use only letters (a-z or A-Z), numbers (0-9), ""_"" and ""-"" symbols."
"Royalty Card Number","Royalty Card Number"
"Sorry, that is not a valid card number","Sorry, that is not a valid card number"
"RUT code validation","RUT code validation"
"Please use the value in the RUT format","Please use the value in the RUT format"
"Invalid input","Invalid input"
"We can't save the customer.","We can't save the customer."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Note. Please save attribute for uploading images.","Note. Please save attribute for uploading images."
"Please save the attribute to set the 'Customer Group Selector' options","Please save the attribute to set the 'Customer Group Selector' options"
"Is Default","Is Default"
"Icon Image","Icon Image"
"Remove Icon Image","Remove Icon Image"
"Add Option","Add Option"
"Sort Option","Sort Option"
[no-image],[no-image]
Delete,Delete
"Show Report","Show Report"
"%name,","%name,"
"new user registered:%name","new user registered:%name"
Information:,Information:
E-mail:,E-mail:
"Customer ID:","Customer ID:"
"Ceated at:","Ceated at:"
"Proceed through checkout faster when making a purchase","Proceed through checkout faster when making a purchase"
"Check the status of orders","Check the status of orders"
"View past orders","View past orders"
"Make changes to your account information","Make changes to your account information"
"Change your password","Change your password"
"Store alternative addresses (for shipping to multiple family members and friends!)","Store alternative addresses (for shipping to multiple family members and friends!)"
"Thank you again,%store","Thank you again,%store"
"General Settings","General Settings"
"Display customer attributes on the ""select customer"" grid","Display customer attributes on the ""select customer"" grid"
"This applies to the customers grid which is used to select a customer during order creation at the backend","This applies to the customers grid which is used to select a customer during order creation at the backend"
"Allow customers to change their group","Allow customers to change their group"
"Customer Group Catalog Relation","Customer Group Catalog Relation"
Back,Back
"Relation Information","Relation Information"
"Relation Name","Relation Name"
"For internal use","For internal use"
"Parent Attribute","Parent Attribute"
"Attribute Options","Attribute Options"
"Dependent Attributes","Dependent Attributes"
"Add New Relation","Add New Relation"
"Attribute Codes","Attribute Codes"
